                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.1296,                0.94663,                 1.3446,                 1.3936,                 1.1824,                 1.3536,                 0.7211,                0.56459,                0.63655,                0.43154,                 1.3278,                 1.1653,                 1.5718,                 1.4384,                 1.2968,                 1.5018,             0.00082375,             0.00082375,             0.00082375
                     34,                 1.0661,                0.88112,                 1.3114,                 1.2761,                 1.0561,                 1.3216,                0.68369,                0.58353,                0.64536,                0.43804,                  1.309,                 1.2598,                 1.5651,                 1.4531,                 1.3172,                 1.5041,                0.00081,                0.00081,                0.00081
                     35,                 1.0917,                0.94263,                 1.3228,                 1.3368,                 1.1601,                 1.3312,                0.72428,                0.54986,                0.61242,                0.42399,                 1.3157,                 1.3059,                 1.5536,                 1.4735,                 1.5391,                 1.5186,             0.00079625,             0.00079625,             0.00079625
                     36,                 1.0628,                0.90555,                 1.2995,                 1.2733,                 1.0945,                 1.3111,                0.72801,                0.57283,                0.65029,                0.45886,                 1.2626,                 1.1756,                 1.5206,                 1.4187,                 1.2894,                 1.4918,              0.0007825,              0.0007825,              0.0007825
                     37,                  1.071,                0.90832,                 1.3059,                 1.2989,                 1.1196,                 1.3135,                0.72812,                0.60113,                0.65149,                0.46018,                 1.2942,                 1.1149,                 1.5408,                 1.4707,                  1.268,                  1.499,             0.00076875,             0.00076875,             0.00076875
                     38,                 1.0565,                0.88508,                 1.3086,                 1.2875,                 1.0713,                 1.3028,                0.74471,                0.56814,                0.64865,                0.44813,                 1.2844,                  1.163,                 1.5604,                 1.4602,                 1.3135,                 1.5279,               0.000755,               0.000755,               0.000755
                     39,                 1.0698,                0.89861,                 1.3077,                  1.297,                 1.0695,                 1.3147,                 0.7232,                0.60277,                0.63822,                0.44341,                 1.3276,                 1.2305,                 1.5911,                 1.4834,                  1.352,                 1.5367,             0.00074125,             0.00074125,             0.00074125
                     40,                 1.0744,                0.90724,                  1.328,                 1.2914,                 1.1046,                 1.3331,                0.70192,                0.57075,                0.65078,                0.44419,                 1.3068,                 1.1749,                 1.5485,                 1.4773,                 1.2659,                 1.5261,              0.0007275,              0.0007275,              0.0007275
                     41,                 1.0696,                0.88336,                 1.2992,                 1.2772,                 1.0683,                 1.2963,                0.74842,                0.56811,                0.65159,                0.44667,                 1.3265,                 1.1762,                 1.5582,                 1.4864,                 1.3266,                 1.5331,             0.00071375,             0.00071375,             0.00071375
                     42,                 1.0446,                0.87267,                 1.2877,                 1.2991,                 1.1031,                 1.2884,                0.72502,                0.57803,                0.62647,                 0.4229,                 1.3217,                 1.2567,                  1.545,                  1.473,                 1.3647,                 1.4974,                 0.0007,                 0.0007,                 0.0007
                     43,                 1.0369,                0.85155,                 1.2908,                 1.2782,                 1.0434,                 1.2909,                0.77791,                0.55507,                0.64931,                0.43886,                 1.3237,                 1.2065,                 1.5611,                  1.475,                 1.3653,                 1.5109,             0.00068625,             0.00068625,             0.00068625
                     44,                 1.0529,                0.86285,                 1.2882,                 1.2702,                 1.0361,                 1.3004,                0.75872,                 0.5915,                0.65017,                0.45815,                 1.2912,                 1.1654,                 1.5219,                 1.4318,                 1.2987,                 1.4854,              0.0006725,              0.0006725,              0.0006725
                     45,                 1.0209,                  0.866,                 1.2868,                 1.2391,                 1.0631,                 1.2984,                0.78742,                0.55542,                0.64969,                0.45553,                 1.2754,                 1.1828,                 1.5117,                 1.4296,                  1.349,                 1.4876,             0.00065875,             0.00065875,             0.00065875
                     46,                0.99644,                0.96574,                 1.2449,                 1.2169,                 1.0367,                 1.2577,                0.74443,                0.57692,                0.66588,                0.46323,                 1.3099,                 1.1886,                 1.5696,                 1.4476,                 1.4105,                 1.5147,               0.000645,               0.000645,               0.000645
                     47,                0.97729,                0.81718,                 1.2533,                 1.2054,                 1.0028,                  1.261,                0.78322,                0.57381,                0.66832,                0.46849,                 1.2711,                 1.1105,                 1.5271,                 1.4413,                 1.2632,                 1.5133,             0.00063125,             0.00063125,             0.00063125
                     48,                  1.011,                0.83434,                 1.2512,                 1.2644,                 1.0362,                 1.2587,                0.80646,                0.55502,                0.65602,                0.44794,                 1.3351,                 1.1313,                 1.5506,                 1.4713,                 1.2103,                 1.4946,              0.0006175,              0.0006175,              0.0006175
                     49,                0.99515,                0.80833,                 1.2537,                  1.206,                   1.01,                 1.2581,                0.76681,                  0.559,                0.63782,                0.44671,                 1.2752,                 1.2095,                 1.5159,                 1.4196,                 1.3946,                 1.4816,             0.00060375,             0.00060375,             0.00060375
                     50,                 1.0023,                0.84221,                 1.2697,                 1.1981,                 1.0247,                 1.2776,                0.76743,                0.55437,                0.65592,                0.46606,                 1.2689,                   1.13,                 1.5158,                 1.4352,                  1.288,                 1.4854,                0.00059,                0.00059,                0.00059
                     51,                0.99155,                 0.7752,                  1.251,                 1.2132,                0.93106,                 1.2608,                0.71683,                0.58358,                0.64163,                0.44332,                 1.2915,                 1.1414,                 1.5281,                 1.4429,                 1.3217,                 1.5009,             0.00057625,             0.00057625,             0.00057625
                     52,                0.95106,                0.78109,                 1.2394,                 1.1724,                0.94971,                 1.2471,                0.77288,                0.53844,                0.65087,                0.44793,                 1.2819,                 1.1942,                 1.5055,                 1.4365,                 1.3693,                 1.4771,              0.0005625,              0.0005625,              0.0005625
                     53,                0.93347,                0.72249,                 1.2221,                 1.1146,                0.85677,                   1.23,                0.69184,                0.58537,                0.64324,                0.45193,                 1.2916,                  1.207,                 1.5167,                 1.4401,                 1.3074,                 1.4813,             0.00054875,             0.00054875,             0.00054875
                     54,                0.94539,                0.76635,                 1.2292,                 1.1783,                0.92387,                 1.2387,                0.82147,                0.51073,                0.64984,                0.46207,                 1.2904,                 1.2075,                 1.5263,                 1.4481,                 1.3572,                 1.4951,               0.000535,               0.000535,               0.000535
                     55,                0.93983,                0.77119,                 1.2308,                 1.1495,                0.94415,                 1.2438,                0.76988,                0.57968,                0.66072,                0.45325,                 1.3071,                 1.1519,                 1.5507,                 1.4707,                 1.2496,                 1.5012,             0.00052125,             0.00052125,             0.00052125
